만족도,성별
불만족,남성
보통,여성
불만족,여성
보통,남성
만족,여성
보통,여성
만족,여성
보통,남성
만족,남성
만족,남성
보통,남성
만족,남성
만족,남성
만족,여성
불만족,여성
보통,남성
만족,여성
만족,남성
보통,남성
만족,남성
보통,여성
만족,남성
보통,여성
보통,여성
보통,남성
보통,여성
불만족,여성
만족,여성
만족,남성
만족,여성
만족,여성
만족,남성
만족,여성
보통,남성
만족,남성
만족,남성
보통,남성
불만족,남성
만족,남성
만족,남성
만족,남성
불만족,여성
만족,여성
만족,여성
만족,남성
만족,남성
불만족,여성
보통,남성
불만족,남성
보통,남성
불만족,남성
만족,남성
만족,여성
보통,여성
만족,남성
만족,남성
만족,여성
만족,남성
만족,여성
만족,여성
만족,여성
보통,남성
만족,남성
불만족,여성
보통,여성
불만족,남성
만족,여성
만족,여성
보통,남성
만족,남성
만족,여성
보통,남성
만족,남성
불만족,여성
불만족,남성
보통,남성
만족,남성
보통,남성
만족,남성
보통,여성
만족,여성
불만족,여성
만족,여성
불만족,여성
보통,여성
보통,남성
보통,남성
불만족,여성
만족,남성
불만족,여성
만족,여성
만족,여성
보통,여성
보통,남성
보통,여성
불만족,남성
보통,남성
만족,남성
만족,여성
보통,남성
보통,남성
보통,여성
만족,남성
불만족,여성
만족,여성
불만족,여성
만족,남성
불만족,여성
불만족,여성
만족,남성
만족,남성
만족,남성
보통,여성
만족,남성
만족,남성
불만족,여성
만족,여성
보통,남성
불만족,여성
보통,남성
만족,남성
만족,남성
불만족,남성
보통,여성
보통,남성
불만족,여성
불만족,여성
보통,남성
보통,여성
만족,남성
보통,남성
보통,남성
불만족,여성
불만족,여성
불만족,여성
보통,남성
보통,여성
만족,남성
만족,여성
만족,남성
불만족,여성
보통,남성
보통,여성
보통,남성
불만족,여성
만족,남성
보통,남성
보통,남성
보통,여성
만족,여성
만족,여성
만족,여성
만족,여성
불만족,남성
보통,여성
만족,남성
보통,남성
보통,남성
만족,여성
불만족,여성
만족,여성
만족,여성
만족,남성
보통,남성
만족,남성
만족,남성
보통,남성
만족,여성
보통,여성
만족,남성
만족,남성
보통,여성
만족,여성
보통,여성
불만족,여성
불만족,여성
만족,여성
불만족,남성
만족,여성
만족,남성
보통,남성
불만족,여성
만족,남성
만족,남성
보통,여성
만족,여성
불만족,여성
만족,남성
보통,여성
만족,여성
만족,여성
보통,여성
불만족,여성
보통,남성
보통,여성
보통,남성
보통,여성
보통,여성
보통,남성
보통,여성
